type	latitude	longitude	name	desc
T	50.1245298	8.6716920

type	latitude	longitude	name	desc
T	50.1241333	8.6685034	lastverisongraph	Length: 0.365 km (0.227 mi)
T	50.1241160	8.6684910
T	50.1250635	8.6680806
T	50.1249895	8.6672276
T	50.1239870	8.6673928
T	50.1241108	8.6684522
T	50.1241160	8.6684910

type	latitude	longitude	name	desc
T	50.1239870	8.6673928	lastverisongraph	Length: 0.815 km (0.506 mi)
T	50.1239750	8.6673730
T	50.1236947	8.6656591
T	50.1236703	8.6655162
T	50.1235799	8.6649925
T	50.1235627	8.6649005
T	50.1235176	8.6649242
T	50.1235601	8.6648739
T	50.1235571	8.6648463
T	50.1233181	8.6631780
T	50.1224379	8.6634881
T	50.1229555	8.6659745
T	50.1232678	8.6676678
T	50.1239711	8.6674156
T	50.1239870	8.6673928

type	latitude	longitude	name	desc
T	50.1233577	8.6687314	lastverisongraph	Length: 76.91 m (252.3 ft)
T	50.1233641	8.6687031
T	50.1232712	8.6676731
T	50.1232678	8.6676678

type	latitude	longitude	name	desc
T	50.1224808	8.6679498	lastverisongraph	Length: 90 m (295.3 ft)
T	50.1224896	8.6679521
T	50.1232463	8.6676704
T	50.1232678	8.6676678

type	latitude	longitude	name	desc
T	50.1233577	8.6687314	lastverisongraph	Length: 0.251 km (0.156 mi)
T	50.1233495	8.6687621
T	50.1226169	8.6690008
T	50.1219651	8.6692342
T	50.1222248	8.6680647
T	50.1222231	8.6680335

type	latitude	longitude	name	desc
T	50.1219651	8.6692342	lastverisongraph	Length: 0.215 km (0.134 mi)
T	50.1219514	8.6692422
T	50.1216332	8.6704117
T	50.1227046	8.6701273
T	50.1227231	8.6701221

type	latitude	longitude	name	desc
T	50.1224379	8.6634881	lastverisongraph	Length: 0.227 km (0.141 mi)
T	50.1224283	8.6634974
T	50.1213707	8.6638246
T	50.1215427	8.6652623
T	50.1215436	8.6652783

type	latitude	longitude	name	desc
T	50.1235125	8.6698311	lastverisongraph	Length: 0.222 km (0.138 mi)
T	50.1235221	8.6699266
T	50.1237388	8.6716813
T	50.1229512	8.6716646

type	latitude	longitude	name	desc
T	50.1237035	8.6655224	lastverisongraph	Length: 0.322 km (0.2 mi)
T	50.1237039	8.6655233
T	50.1236703	8.6655162
T	50.1237035	8.6655224
T	50.1249381	8.6650528
T	50.1257051	8.6647606
T	50.1260663	8.6647284
T	50.1264274	8.6648465
T	50.1264506	8.6648779

type	latitude	longitude	name	desc
